,pic_data,answers
0,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 126, 255, 255, 255, 255, 255, 255, 255, 171, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 204, 255, 255, 255, 176, 255, 255, 255, 255, 255, 113, 62, 17, 209, 255, 255, 255, 255, 255, 47, 17, 209, 17, 17, 17, 26, 255, 255, 255, 255, 158, 17, 17, 62, 17, 68, 158, 255, 218, 255, 255, 255, 204, 62, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 17, 255, 255, 255, 255, 255, 174, 255, 255, 255, 68, 17, 17, 209, 255, 255, 255, 255, 131, 255, 255, 255, 62, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 179, 255, 255, 255, 255, 255, 255, 255, 68, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 62, 62, 159, 255, 255, 255, 255, 255, 255, 255, 255, 209, 255, 255, 255, 255, 98, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 36, 126, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 180, 255, 123, 255, 255, 255, 255, 255, 255]",27
1,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 164, 255, 255, 255, 255, 137, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 213, 71, 255, 113, 17, 17, 209, 255, 255, 255, 209, 209, 255, 164, 255, 158, 17, 17, 113, 255, 209, 62, 17, 17, 62, 41, 147, 255, 17, 17, 62, 209, 62, 17, 17, 17, 17, 68, 209, 255, 62, 17, 17, 17, 62, 113, 17, 62, 17, 17, 113, 255, 113, 17, 17, 17, 158, 255, 255, 255, 62, 17, 62, 255, 209, 17, 17, 17, 255, 255, 255, 255, 68, 17, 17, 255, 255, 62, 17, 17, 204, 255, 255, 255, 158, 17, 17, 255, 255, 113, 17, 17, 113, 255, 255, 255, 255, 17, 17, 255, 255, 255, 17, 17, 62, 132, 255, 255, 255, 68, 17, 255, 255, 255, 62, 17, 68, 204, 255, 255, 255, 113, 17, 255, 255, 255, 113, 17, 17, 164, 255, 255, 179, 255, 62, 255, 255, 255, 209, 17, 17, 62, 255, 255, 255, 255, 209, 255, 255, 255, 255, 68, 17, 113, 255, 255, 255, 255, 56, 255, 255, 255, 255, 158, 209, 255, 255, 255, 255, 255, 255, 255, 255, 144, 255, 255, 255, 255, 255, 255, 255, 255, 165, 255, 167, 255, 255, 255, 129, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 122, 255, 69, 255, 255, 255, 255, 255]",17
2,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 68, 62, 68, 62, 209, 255, 255, 255, 255, 255, 62, 17, 17, 17, 17, 17, 17, 209, 255, 255, 255, 72, 17, 17, 68, 113, 158, 17, 17, 62, 255, 255, 255, 113, 17, 17, 113, 255, 255, 113, 17, 17, 255, 255, 32, 62, 17, 17, 255, 56, 255, 113, 17, 17, 141, 255, 158, 17, 17, 62, 255, 255, 255, 158, 17, 17, 255, 255, 113, 17, 17, 158, 255, 255, 255, 113, 17, 17, 158, 255, 62, 17, 17, 209, 255, 255, 86, 68, 17, 17, 113, 255, 68, 17, 68, 209, 255, 255, 255, 17, 17, 62, 17, 255, 17, 17, 17, 255, 255, 255, 204, 17, 17, 62, 17, 209, 68, 17, 68, 255, 255, 255, 164, 17, 17, 113, 17, 113, 17, 17, 17, 110, 255, 255, 62, 17, 17, 209, 68, 113, 113, 17, 17, 158, 255, 158, 17, 17, 113, 255, 255, 255, 72, 62, 17, 17, 17, 17, 17, 17, 158, 255, 219, 255, 255, 158, 68, 17, 17, 17, 68, 158, 255, 255, 255, 255, 255, 255, 255, 209, 113, 158, 209, 255, 255, 255, 255, 255, 177, 171, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 0, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 113, 255, 255, 255, 255, 255, 255, 255, 255, 128, 255]",0
3,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 131, 204, 113, 62, 158, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 158, 113, 17, 158, 255, 255, 255, 204, 255, 255, 255, 255, 0, 255, 255, 255, 255, 45, 255, 158, 255, 255, 255, 255, 11, 113, 158, 255, 255, 255, 255, 113, 255, 255, 255, 255, 68, 17, 17, 204, 255, 255, 255, 209, 47, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 204, 153, 255, 255, 134, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 194, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 209, 17, 17, 158, 255, 255, 255, 255, 255, 255, 29, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 209, 204, 68, 17, 17, 209, 89, 255, 255, 255, 255, 255, 17, 17, 17, 17, 17, 255, 255, 255, 255, 255, 255, 209, 17, 17, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 158, 158, 113, 209, 255, 255, 255, 255, 255, 107]",19
4,"[255, 255, 255, 255, 255, 255, 62, 68, 107, 255, 255, 255, 255, 255, 255, 255, 92, 255, 68, 17, 68, 255, 255, 255, 255, 255, 255, 255, 255, 209, 17, 62, 62, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 186, 75, 255, 255, 209, 62, 158, 158, 255, 255, 255, 255, 255, 255, 174, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 204, 255, 255, 209, 255, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 156, 255, 255, 255, 255, 68, 17, 62, 209, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 93, 62, 17, 17, 26, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 233, 255, 255, 255, 255, 255, 255, 204, 17, 17, 68, 81, 255, 255, 255, 255, 81, 255, 255, 209, 17, 17, 113, 201, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 255, 209, 209, 204, 255, 105, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 158, 255, 255, 255, 255, 203, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 192, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 189, 255, 255, 255, 255, 255, 141, 255, 255, 255, 255]",18
5,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 182, 255, 255, 255, 113, 68, 204, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 158, 255, 255, 158, 158, 255, 255, 255, 255, 158, 17, 17, 98, 255, 62, 17, 17, 113, 255, 255, 255, 209, 17, 17, 113, 255, 113, 17, 17, 17, 158, 179, 255, 204, 17, 17, 158, 255, 131, 113, 17, 17, 17, 158, 255, 209, 17, 17, 113, 255, 255, 255, 158, 17, 17, 17, 209, 209, 17, 17, 158, 255, 255, 255, 255, 158, 17, 17, 17, 17, 17, 17, 113, 255, 255, 255, 255, 255, 62, 17, 17, 17, 17, 17, 68, 255, 255, 255, 255, 255, 255, 158, 17, 17, 17, 17, 62, 255, 255, 255, 255, 255, 83, 255, 209, 17, 17, 17, 113, 255, 255, 255, 255, 255, 36, 255, 255, 158, 17, 113, 204, 255, 255, 158, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 53, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 173, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 93, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",31
6,"[255, 83, 255, 255, 255, 255, 255, 255, 255, 158, 204, 255, 255, 255, 255, 255, 255, 255, 255, 209, 68, 17, 68, 209, 255, 255, 255, 255, 255, 209, 107, 62, 17, 17, 17, 255, 152, 255, 255, 158, 68, 17, 17, 17, 17, 17, 113, 255, 255, 255, 255, 113, 17, 17, 17, 62, 17, 17, 158, 255, 255, 255, 255, 68, 62, 62, 255, 62, 17, 62, 255, 255, 255, 255, 116, 255, 255, 255, 204, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 164, 17, 17, 113, 255, 255, 255, 255, 255, 80, 255, 255, 62, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 68, 17, 68, 255, 255, 255, 255, 255, 83, 255, 255, 209, 17, 17, 62, 255, 255, 255, 146, 255, 255, 255, 255, 113, 17, 17, 158, 255, 255, 255, 255, 143, 255, 98, 255, 68, 17, 17, 204, 255, 255, 255, 255, 255, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 209, 62, 68, 158, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 164, 255, 255, 255, 255, 255, 66, 114, 255, 111, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 155, 255, 255, 255, 164, 255, 255, 255, 255, 255, 255, 255, 255, 255, 117, 255, 255, 255, 255, 255, 255, 255, 255, 149, 255]",1
7,"[255, 255, 255, 255, 146, 209, 62, 62, 17, 113, 158, 255, 255, 255, 255, 45, 158, 17, 17, 17, 17, 17, 17, 62, 255, 255, 255, 209, 17, 17, 17, 113, 107, 62, 17, 17, 255, 255, 255, 113, 68, 17, 158, 255, 255, 255, 68, 17, 255, 255, 255, 255, 255, 209, 204, 255, 255, 255, 11, 17, 255, 255, 255, 255, 255, 255, 255, 255, 255, 162, 68, 17, 255, 255, 171, 255, 255, 126, 255, 255, 255, 113, 17, 17, 255, 255, 255, 255, 255, 255, 255, 209, 113, 17, 17, 17, 255, 255, 255, 255, 255, 255, 113, 62, 17, 17, 17, 158, 255, 255, 255, 255, 209, 62, 17, 17, 17, 17, 209, 255, 255, 255, 255, 113, 17, 17, 17, 62, 113, 255, 255, 255, 255, 255, 68, 17, 17, 17, 113, 209, 255, 255, 255, 255, 255, 113, 17, 17, 17, 68, 158, 255, 255, 255, 255, 255, 153, 17, 17, 17, 17, 17, 17, 62, 68, 113, 209, 255, 204, 158, 17, 68, 17, 17, 17, 17, 17, 17, 17, 255, 255, 68, 255, 255, 255, 209, 158, 62, 53, 17, 68, 255, 255, 255, 255, 255, 102, 255, 255, 159, 255, 62, 158, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 212, 255, 66, 255, 255, 255, 255, 255, 255, 255, 255, 92, 255, 255, 255, 255, 255, 255, 95, 255]",2
8,"[255, 255, 255, 255, 255, 255, 255, 255, 113, 209, 204, 255, 255, 255, 255, 255, 255, 255, 255, 204, 17, 17, 113, 255, 255, 156, 255, 255, 255, 255, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 204, 255, 209, 158, 86, 255, 255, 255, 75, 255, 255, 255, 255, 158, 204, 255, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 158, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 204, 255, 255, 255, 114, 255, 255, 255, 255, 17, 17, 17, 255, 255, 255, 255, 255, 255, 255, 255, 209, 17, 17, 68, 255, 255, 77, 255, 218, 255, 255, 134, 158, 17, 17, 62, 116, 255, 255, 255, 110, 255, 255, 255, 113, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 62, 17, 17, 209, 255, 255, 255, 255, 83, 255, 255, 255, 17, 17, 62, 255, 255, 255, 255, 255, 255, 255, 255, 158, 17, 17, 113, 255, 255, 255, 159, 255, 255, 255, 255, 158, 17, 17, 158, 255, 255, 255, 255, 255, 255, 158, 209, 17, 17, 17, 209, 255, 198, 255, 255, 255, 204, 17, 17, 17, 17, 68, 255, 255, 255, 66, 255, 255, 113, 17, 17, 17, 17, 113, 123, 255, 255, 255, 255, 255, 209, 158, 62, 113, 158, 255, 255, 255, 38, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",19
9,"[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 150, 255, 255, 255, 255, 255, 147, 255, 255, 255, 255, 255, 255, 255, 255, 255, 42, 255, 255, 255, 255, 255, 255, 213, 113, 68, 62, 113, 158, 182, 255, 255, 255, 255, 255, 62, 17, 17, 17, 17, 17, 11, 255, 255, 17, 113, 113, 17, 62, 113, 62, 17, 17, 17, 113, 62, 17, 17, 62, 62, 255, 255, 255, 62, 17, 17, 62, 62, 17, 17, 17, 158, 255, 255, 255, 255, 62, 17, 17, 255, 68, 17, 17, 113, 255, 255, 255, 255, 164, 17, 17, 255, 113, 17, 17, 113, 255, 255, 255, 255, 255, 68, 17, 255, 255, 17, 17, 17, 171, 255, 255, 171, 255, 17, 17, 255, 255, 113, 17, 17, 113, 255, 255, 255, 158, 17, 17, 255, 255, 158, 17, 17, 17, 62, 158, 107, 17, 17, 17, 255, 255, 255, 62, 17, 17, 17, 17, 17, 17, 68, 158, 255, 255, 255, 158, 17, 17, 62, 209, 17, 158, 204, 255, 255, 255, 255, 126, 68, 17, 17, 209, 255, 255, 255, 255, 255, 255, 255, 255, 107, 17, 17, 113, 255, 171, 255, 255, 255, 255, 255, 255, 255, 17, 17, 17, 170, 255, 255, 255, 255, 255, 255, 255, 255, 113, 17, 17, 113, 255, 255, 255, 255, 255, 255, 255, 255, 158, 68, 62, 209, 255, 255, 255, 255, 255, 156, 255, 255, 255, 204, 255, 255, 255, 255, 255]",25
